"FLOORS","Level","lnPrice","lnInc","Top25","AboveMed"
2,3,11.5129354649202,10.7576475289438,0,0
2,4,11.5129354649202,11.5613536588744,1,1
3,3,11.6082447356423,10.274188668208,0,0
3,3,11.6952553550628,11.4976899923275,0,1
7,3,12.5776396502326,11.361963030616,0,0
2,3,12.6443308022626,11.4613689780558,0,1
2,4,12.5425484535736,11.6950386667264,1,1
2,3,11.9829353441964,10.8247857262208,0,0
3,1,12.8739045822051,11.6885664228399,1,1
3,1,11.9183972397228,11.2250833797171,0,1
3,1,12.043559598368,10.2399955028053,0,0
3,2,12.7656912906044,10.5713425658087,0,0
4,1,12.4684407561441,12.3799209051195,1,1
2,1,11.5129354649202,10.5815464756746,0,0
2,3,9.90353755128617,10.91962361938,0,0
4,4,11.6952553550628,10.9151066458675,0,1
2,4,12.7938620882062,11.8582937286296,1,1
2,3,11.6952553550628,11.1484055437938,0,1
2,3,11.7752974217158,10.4103352749329,0,0
3,2,11.6082447356423,11.1287471763176,0,0
3,1,11.7752974217158,10.7141510665239,0,0
2,3,11.1562648066437,9.20913965139966,0,0
3,1,11.8494048444231,10.7784353208759,0,0
8,4,12.7656912906044,11.5988737771066,1,1
3,2,12.345838935722,11.0940103091377,0,0
3,2,12.6115410869661,11.512675433715,1,1
1,4,12.5776396502326,11.5129354649202,1,1
2,1,10.8197982842103,10.4038991379532,0,0
1,4,9.90353755128617,11.1611101225888,0,1
2,1,12.3013873707787,11.3050522266919,0,1
2,3,12.1007176854125,10.8587682017015,0,0
6,3,12.7068509637411,10.1186392539208,0,0
4,4,12.1547846142867,10.1648898159674,0,0
1,1,11.6082447356423,10.3723029761451,0,0
2,3,11.7752974217158,10.8195382556057,0,0
2,1,12.043559598368,11.4946392872829,0,1
3,1,11.6082447356423,11.4400859187933,0,1
2,1,11.6082447356423,12.0849665947697,1,1
15,1,14.093143052138,12.7453224475127,1,1
3,1,12.9239148777019,11.9831665660173,1,1
3,3,13.3847291803322,11.8492191142171,1,1
4,3,13.2176753753888,10.7141510665239,0,0
8,2,13.1223653774023,11.5988737771066,1,1
2,3,11.7752974217158,10.5447359923049,0,0
3,2,12.7938620882062,11.6950386667264,1,1
1,4,13.0170050839663,11.1982284186668,0,1
